Postcode,NUTS1 region
NE31,North East (England)
NE32,North East (England)
NE33,North East (England)
NE34,North East (England)
NE35,North East (England)
NE36,North East (England)
NE37,North East (England)
NE38,North East (England)
NE39,North East (England)
NE4,North East (England)
NE40,North East (England)
NE41,North East (England)
NE42,North East (England)
NE43,North East (England)
NE44,North East (England)
NE45,North East (England)
NE46,North East (England)
NE47,North East (England)
NE48,North East (England)
NE49,North East (England)
NE5,North East (England)
NE6,North East (England)
NE61,North East (England)
NE62,North East (England)
NE63,North East (England)
NE64,North East (England)
NE65,North East (England)
NE66,North East (England)
NE67,North East (England)
NE68,North East (England)
NE69,North East (England)
NE7,North East (England)
NE70,North East (England)
NE71,North East (England)
NE8,North East (England)
NE82,North East (England)
NE83,North East (England)
NE85,North East (England)
NE88,North East (England)
NE9,North East (England)
NE92,North East (England)
NE98,North East (England)
NE99,North East (England)
NG10,East Midlands (England)
NG12,East Midlands (England)
NG13,East Midlands (England)
NG14,East Midlands (England)
NG15,East Midlands (England)
NG16,East Midlands (England)
NG17,East Midlands (England)
NG18,East Midlands (England)
NG19,East Midlands (England)
NG20,East Midlands (England)
NG21,East Midlands (England)
NG22,East Midlands (England)
NG23,East Midlands (England)
NG24,East Midlands (England)
NG25,East Midlands (England)
NG31,East Midlands (England)
NG32,East Midlands (England)
NG33,East Midlands (England)
NG34,East Midlands (England)
NG6,East Midlands (England)
NN10,East Midlands (England)
NN11,West Midlands (England)
NN12,South East (England)
NN13,South East (England)
NN14,East Midlands (England)
NN15,East Midlands (England)
NN16,East Midlands (England)
NN17,East Midlands (England)
NN18,East Midlands (England)
NN29,East Midlands (England)
NN3,East Midlands (England)
NN6,East Midlands (England)
NN7,East Midlands (England)
NN8,East Midlands (England)
NN9,East Midlands (England)
NP10,Wales
NP11,Wales
NP12,Wales
NP13,Wales
NP15,Wales
NP16,Wales
NP18,Wales
NP19,Wales
NP20,Wales
NP22,Wales
NP23,Wales
NP24,Wales
NP25,Wales
NP26,Wales
NP4,Wales
NP44,Wales
NP7,Wales
NP8,Wales
NR1,East of England
NR10,East of England
NR11,East of England
NR12,East of England
NR13,East of England
NR14,East of England
NR15,East of England
NR16,East of England
NR17,East of England
NR18,East of England
NR19,East of England
NR2,East of England
NR20,East of England
NR21,East of England
NR22,East of England
NR23,East of England
NR24,East of England
NR25,East of England
NR26,East of England
NR27,East of England
NR28,East of England
NR29,East of England
NR3,East of England
NR30,East of England
NR31,East of England
NR34,East of England
NR35,East of England
NR4,East of England
NR5,East of England
NR6,East of England
NR7,East of England
NR8,East of England
NR9,East of England
NR99,East of England
NW1,London
NW10,London
NW1W,London
NW2,London
NW26,London
NW3,London
NW5,London
NW6,London
NW8,London
NW9,London
OL1,North West (England)
OL10,North West (England)
OL11,North West (England)
OL12,North West (England)
OL13,North West (England)
OL14,North West (England)
OL15,North West (England)
OL16,North West (England)
OL2,North West (England)
OL3,North West (England)
OL4,North West (England)
OL5,North West (England)
OL6,North West (England)
OL7,North West (England)
OL8,North West (England)
OL9,North West (England)
OL95,North West (England)
OX1,South East (England)
OX10,South East (England)
OX11,South East (England)
OX12,South East (England)
OX13,South East (England)
OX14,South East (England)
OX15,South East (England)
OX16,South East (England)
OX17,South East (England)
OX18,South East (England)
OX2,South East (England)
OX20,South East (England)
OX25,South East (England)
OX26,South East (England)
OX27,South East (England)
OX28,South East (England)
OX29,South East (England)
OX3,South East (England)
OX33,South East (England)
OX39,South East (England)
OX4,South East (England)
OX44,South East (England)
OX49,South East (England)
OX5,South East (England)
OX7,South East (England)
OX9,South East (England)
PA1,Scotland
PA10,Scotland
PA11,Scotland
PA12,Scotland
PA13,Scotland
PA14,Scotland
PA15,Scotland
PA16,Scotland
PA17,Scotland
PA18,Scotland
PA19,Scotland
PA2,Scotland
PA20,Scotland
PA21,Scotland
PA22,Scotland
PA23,Scotland
PA24,Scotland
PA25,Scotland
PA26,Scotland
PA27,Scotland
PA28,Scotland
PA29,Scotland
PA3,Scotland
PA30,Scotland
PA31,Scotland
PA32,Scotland
PA33,Scotland
PA34,Scotland
PA35,Scotland
PA36,Scotland
PA37,Scotland
PA38,Scotland
PA4,Scotland
PA41,Scotland
PA42,Scotland
PA43,Scotland
PA44,Scotland
PA45,Scotland
PA46,Scotland
PA47,Scotland
PA48,Scotland
PA49,Scotland
PA5,Scotland
PA6,Scotland
PA60,Scotland
PA61,Scotland
PA62,Scotland
PA63,Scotland
PA64,Scotland
PA65,Scotland
PA66,Scotland
PA67,Scotland
PA68,Scotland
PA69,Scotland
PA7,Scotland
PA70,Scotland
PA71,Scotland
PA72,Scotland
PA73,Scotland
PA74,Scotland
PA75,Scotland
PA76,Scotland
PA77,Scotland
PA78,Scotland
PA8,Scotland
PA80,Scotland
PA9,Scotland
PE1,East of England
PE10,East Midlands (England)
PE11,East Midlands (England)
PE12,East of England
PE13,East of England
PE14,East of England
PE15,East of England
PE16,East of England
PE19,East of England
PE2,East of England
PE20,East Midlands (England)
PE21,East Midlands (England)
PE22,East Midlands (England)
PE23,East Midlands (England)
PE24,East Midlands (England)
PE25,East Midlands (England)
PE26,East of England
PE27,East of England
PE28,East of England
PE29,East of England
PE3,East of England
PE30,East of England
PE31,East of England
PE32,East of England
PE33,East of England
PE34,East Midlands (England)
PE35,East of England
PE36,East of England
PE37,East of England
PE38,East of England
PE4,East of England
PE5,East of England
PE6,East of England
PE7,East of England
PE8,East of England
PE9,East of England
PH1,Scotland
PH10,Scotland
PH11,Scotland
PH12,Scotland
PH13,Scotland
PH14,Scotland
PH15,Scotland
PH16,Scotland
PH17,Scotland
PH18,Scotland
PH19,Scotland
PH2,Scotland
PH20,Scotland
PH21,Scotland
PH22,Scotland
PH23,Scotland
PH24,Scotland
PH25,Scotland
PH26,Scotland
PH3,Scotland
PH30,Scotland
PH31,Scotland
PH32,Scotland
PH33,Scotland
PH34,Scotland
PH35,Scotland
PH36,Scotland
PH37,Scotland
PH38,Scotland
PH39,Scotland
PH4,Scotland
PH40,Scotland
PH41,Scotland
PH42,Scotland
PH43,Scotland
PH44,Scotland
PH49,Scotland
PH5,Scotland
PH50,Scotland
PH6,Scotland
PH7,Scotland
PH8,Scotland
PH9,Scotland
PL1,South West (England)
PL2,South West (England)
PL3,South West (England)
PL4,South West (England)
PL5,South West (England)
PL6,South West (England)
PL7,South West (England)
PL9,South West (England)
PL95,South West (England)
PO15,South East (England)
PO17,South East (England)
PO7,South East (England)
PO8,South East (England)
PO9,South East (England)
PR0,North West (England)
PR1,North West (England)
PR11,North West (England)
PR2,North West (England)
PR25,North West (England)
PR26,North West (England)
PR3,North West (England)
PR4,North West (England)
PR5,North West (England)
PR6,North West (England)
PR7,North West (England)
PR8,North West (England)
PR9,North West (England)
RG17,South East (England)
RG19,South East (England)
RG20,South East (England)
RG21,South East (England)
RG22,South East (England)
RG23,South East (England)
RG24,South East (England)
RG25,South East (England)
RG26,South East (England)
RG27,South East (England)
RG28,South East (England)
RG29,South East (England)
RG4,South East (England)
RG7,South East (England)
RG8,South East (England)
RG9,South East (England)
RH1,South East (England)
RH10,South East (England)
RH11,South East (England)
RH12,South East (England)
RH13,South East (England)
RH14,South East (England)
RH15,South East (England)
RH16,South East (England)
RH17,South East (England)
RH18,South East (England)
RH19,South East (England)
RH2,South East (England)
RH20,South East (England)
RH3,South East (England)
RH4,South East (England)
RH5,South East (England)
RH6,South East (England)
RH7,South East (England)
RH77,South East (England)
RH8,South East (England)
RH9,South East (England)
RM1,London
RM10,London
RM11,London
RM12,London
RM13,London
RM14,London
RM15,London
RM16,East of England
RM17,East of England
RM18,East of England
RM19,East of England
RM2,London
RM20,East of England
RM3,London
RM4,London
RM5,London
RM6,London
RM7,London
RM8,London
RM9,London
S1,Yorkshire and The Humber
S10,Yorkshire and The Humber
S11,Yorkshire and The Humber
S12,Yorkshire and The Humber
S13,Yorkshire and The Humber
S14,Yorkshire and The Humber
S17,Yorkshire and The Humber
S18,East Midlands (England)
S2,Yorkshire and The Humber
S20,Yorkshire and The Humber
S21,East Midlands (England)
S3,Yorkshire and The Humber
S35,Yorkshire and The Humber
S36,Yorkshire and The Humber
S4,Yorkshire and The Humber
S40,East Midlands (England)
S41,East Midlands (England)
S42,East Midlands (England)
S43,East Midlands (England)
S44,East Midlands (England)
S45,East Midlands (England)
S49,East Midlands (England)
S5,Yorkshire and The Humber
S6,Yorkshire and The Humber
S60,Yorkshire and The Humber
S61,Yorkshire and The Humber
S7,Yorkshire and The Humber
S8,Yorkshire and The Humber
S80,East Midlands (England)
S81,East Midlands (England)
S9,Yorkshire and The Humber
S95,Yorkshire and The Humber
S96,Yorkshire and The Humber
S97,Yorkshire and The Humber
S98,Yorkshire and The Humber
S99,Yorkshire and The Humber
SA1,Wales
SA10,Wales
SA11,Wales
SA12,Wales
SA13,Wales
SA14,Wales
SA15,Wales
SA16,Wales
SA17,Wales
SA18,Wales
SA19,Wales
SA2,Wales
SA20,Wales
SA3,Wales
SA31,Wales
SA32,Wales
SA33,Wales
SA34,Wales
SA35,Wales
SA36,Wales
SA37,Wales
SA38,Wales
SA39,Wales
SA4,Wales
SA40,Wales
SA41,Wales
SA42,Wales
SA43,Wales
SA44,Wales
SA45,Wales
SA46,Wales
SA47,Wales
SA48,Wales
SA5,Wales
SA6,Wales
SA61,Wales
SA62,Wales
SA63,Wales
SA64,Wales
SA65,Wales
SA66,Wales
SA67,Wales
SA68,Wales
SA69,Wales
SA7,Wales
SA70,Wales
SA71,Wales
SA72,Wales
SA73,Wales
SA8,Wales
SA80,Wales
SA9,Wales
SA99,Wales
SE1,London
SE10,London
SE11,London
SE12,London
SE13,London
SE14,London
SE15,London
SE16,London
SE17,London
SE18,London
SE19,London
SE1P,London
SE2,London
SE20,London
SE21,London
SE22,London
SE23,London
SE24,London
SE25,London
SE26,London
SE27,London
SE28,London
SE3,London
SE4,London
SE5,London
SE6,London
SE7,London
SE8,London
SE9,London
SG1,East of England
SG10,East of England
SG11,East of England
SG12,East of England
SG13,East of England
SG14,East of England
SG15,East of England
SG16,East of England
SG17,East of England
SG18,East of England
SG19,East of England
SG2,East of England
SG3,East of England
SG4,East of England
SG5,East of England
SG6,East of England
SG7,East of England
SG8,East of England
SG9,East of England
SK1,North West (England)
SK11,West Midlands (England)
SK12,North West (England)
SK13,North West (England)
SK14,North West (England)
SK15,North West (England)
SK16,North West (England)
SK17,West Midlands (England)
SK2,North West (England)
SK22,North West (England)
SK3,North West (England)
SK4,North West (England)
SK5,North West (England)
SK6,North West (England)
SK7,North West (England)
SK8,North West (England)
SL0,South East (England)
SL1,South East (England)
SL2,South East (England)
SL3,South East (England)
SL4,South East (England)
SL5,South East (England)
SL6,South East (England)
SL7,South East (England)
SL8,South East (England)
SL9,South East (England)
SM2,South East (England)
SM3,South East (England)
SM7,South East (England)
SN1,South West (England)
SN10,South West (England)
SN11,South West (England)
SN12,South West (England)
SN13,South West (England)
SN14,South West (England)
SN15,South West (England)
SN16,South West (England)
SN2,South West (England)
SN25,South West (England)
SN26,South West (England)
SN3,South West (England)
SN38,South West (England)
SN4,South West (England)
SN5,South West (England)
SN6,South East (England)
SN7,South East (England)
SN8,South West (England)
SN9,South West (England)
SN99,South West (England)
SO14,South East (England)
SO15,South East (England)
SO16,South East (England)
SO17,South East (England)
SO18,South East (England)
SO19,South East (England)
SO20,South East (England)
SO21,South East (England)
SO22,South East (England)
SO23,South East (England)
SO24,South East (England)
SO25,South East (England)
SO30,South East (England)
SO32,South East (England)
SO40,South East (England)
SO41,South East (England)
SO42,South East (England)
SO43,South East (England)
SO45,South East (England)
SO50,South East (England)
SO51,South East (England)
SO52,South East (England)
SO53,South East (England)
SP1,South West (England)
SP10,South East (England)
SP11,South East (England)
SP2,South West (England)
SP3,South West (England)
SP4,South East (England)
SP5,South East (England)
SP6,South East (England)
SP7,South West (England)
SP8,South West (England)
SP9,South East (England)
SR1,North East (England)
SR2,North East (England)
SR3,North East (England)
SR4,North East (England)
SR5,North East (England)
SR6,North East (England)
SR7,North East (England)
SR8,North East (England)
SS0,East of England
SS1,East of England
SS11,East of England
SS16,East of England
SS17,East of England
SS2,East of England
SS22,East of England
SS3,East of England
SS9,East of England
SS99,East of England
ST10,West Midlands (England)
ST11,West Midlands (England)
ST12,West Midlands (England)
ST13,West Midlands (England)
ST14,West Midlands (England)
ST15,West Midlands (England)
ST16,West Midlands (England)
ST17,West Midlands (England)
ST18,West Midlands (England)
ST19,West Midlands (England)
ST2,West Midlands (England)
ST20,West Midlands (England)
ST21,West Midlands (England)
ST3,West Midlands (England)
ST4,West Midlands (England)
ST5,West Midlands (England)
ST55,West Midlands (England)
ST6,West Midlands (England)
ST7,West Midlands (England)
ST8,West Midlands (England)
ST9,West Midlands (England)
SW10,London
SW11,London
SW12,London
SW15,London
SW16,London
SW17,London
SW18,London
SW19,London
SW1A,London
SW1E,London
SW1H,London
SW1P,London
SW1V,London
SW1W,London
SW1X,London
SW1Y,London
SW2,London
SW3,London
SW4,London
SW5,London
SW6,London
SW7,London
SW8,London
SW9,London
SW95,London
SY1,West Midlands (England)
SY10,West Midlands (England)
SY11,West Midlands (England)
SY12,West Midlands (England)
SY13,North West (England)
SY14,North West (England)
SY15,West Midlands (England)
SY2,West Midlands (England)
SY20,Wales
SY21,West Midlands (England)
SY22,West Midlands (England)
SY23,Wales
SY24,Wales
SY25,Wales
SY3,West Midlands (England)
SY4,West Midlands (England)
SY5,West Midlands (England)
SY6,West Midlands (England)
SY7,West Midlands (England)
SY8,West Midlands (England)
SY9,West Midlands (England)
SY99,West Midlands (England)
TA1,South West (England)
TA10,South West (England)
TA11,South West (England)
TA12,South West (England)
TA13,South West (England)
TA14,South West (England)
TA15,South West (England)
TA16,South West (England)
TA17,South West (England)
TA18,South West (England)
TA19,South West (England)
TA2,South West (England)
TA20,South West (England)
TA21,South West (England)
TA22,South West (England)
TA23,South West (England)
TA24,South West (England)
TA3,South West (England)
TA4,South West (England)
TA5,South West (England)
TA6,South West (England)
TA7,South West (England)
TA8,South West (England)
TA9,South West (England)
TD11,Scotland
TD12,North East (England)
TD13,Scotland
TD15,North East (England)
TD5,North East (England)
TD9,North West (England)
TF10,West Midlands (England)
TF11,West Midlands (England)
TF12,West Midlands (England)
TF13,West Midlands (England)
TF2,West Midlands (England)
TF6,West Midlands (England)
TF8,West Midlands (England)
TF9,West Midlands (England)
TN12,South East (England)
TN14,London
TN16,South East (England)
TN17,South East (England)
TN18,South East (England)
TN19,South East (England)
TN2,South East (England)
TN20,South East (England)
TN21,South East (England)
TN22,South East (England)
TN23,South East (England)
TN24,South East (England)
TN25,South East (England)
TN26,South East (England)
TN27,South East (England)
TN3,South East (England)
TN30,South East (England)
TN31,South East (England)
TN32,South East (England)
TN33,South East (England)
TN34,South East (England)
TN35,South East (England)
TN36,South East (England)
TN37,South East (England)
TN38,South East (England)
TN39,South East (England)
TN40,South East (England)
TN5,South East (England)
TN6,South East (England)
TN7,South East (England)
TN8,South East (England)
TQ1,South West (England)
TQ12,South West (England)
TQ2,South West (England)
TQ3,South West (England)
TQ4,South West (England)
TQ5,South West (England)
TS1,North East (England)
TS10,North East (England)
TS11,North East (England)
TS12,North East (England)
TS13,North East (England)
TS14,North East (England)
TS15,North East (England)
TS16,North East (England)
TS17,North East (England)
TS18,North East (England)
TS19,North East (England)
TS2,North East (England)
TS20,North East (England)
TS21,North East (England)
TS22,North East (England)
TS23,North East (England)
TS24,North East (England)
TS25,North East (England)
TS26,North East (England)
TS27,North East (England)
TS28,North East (England)
TS29,North East (England)
TS3,North East (England)
TS4,North East (England)
TS5,North East (England)
TS6,North East (England)
TS7,North East (England)
TS8,North East (England)
TS9,North East (England)
TW12,South East (England)
TW14,South East (England)
TW15,South East (England)
TW16,South East (England)
TW17,South East (England)
TW18,South East (England)
TW19,South East (England)
TW20,South East (England)
TW5,London
TW6,South East (England)
TW8,London
UB1,London
UB10,London
UB11,London
UB18,London
UB2,London
UB3,London
UB4,London
UB5,London
UB6,London
UB7,London
UB8,South East (England)
UB9,South East (England)
W10,London
W11,London
W12,London
W13,London
W14,London
W1A,London
W1B,London
W1C,London
W1D,London
W1F,London
W1G,London
W1H,London
W1J,London
W1K,London
W1S,London
W1T,London
W1U,London
W1W,London
W2,London
W3,London
W4,London
W5,London
W6,London
W7,London
W8,London
W9,London
WA1,North West (England)
WA10,North West (England)
WA11,North West (England)
WA12,North West (England)
WA13,North West (England)
WA14,North West (England)
WA15,North West (England)
WA16,North West (England)
WA2,North West (England)
WA3,North West (England)
WA4,North West (England)
WA5,North West (England)
WA55,North West (England)
WA6,North West (England)
WA7,North West (England)
WA8,North West (England)
WA88,North West (England)
WA9,North West (England)
WC1A,London
WC1B,London
WC1E,London
WC1H,London
WC1N,London
WC1R,London
WC1V,London
WC1X,London
WC2A,London
WC2B,London
WC2E,London
WC2H,London
WC2N,London
WC2R,London
WD17,East of England
WD18,East of England
WD19,East of England
WD23,London
WD24,East of England
WD25,East of England
WD3,South East (England)
WD4,East of England
WD5,East of England
WD6,East of England
WD7,East of England
WD99,East of England
WF11,Yorkshire and The Humber
WF12,Yorkshire and The Humber
WF13,Yorkshire and The Humber
WF14,Yorkshire and The Humber
WF15,Yorkshire and The Humber
WF16,Yorkshire and The Humber
WF17,Yorkshire and The Humber
WF3,Yorkshire and The Humber
WF4,Yorkshire and The Humber
WF5,Yorkshire and The Humber
WF8,Yorkshire and The Humber
WN1,North West (England)
WN2,North West (England)
WN3,North West (England)
WN4,North West (England)
WN5,North West (England)
WN6,North West (England)
WN7,North West (England)
WN8,North West (England)
WR11,South West (England)
WR12,South West (England)
WR13,West Midlands (England)
WR14,West Midlands (England)
WR15,West Midlands (England)
WR6,West Midlands (England)
WR8,South West (England)
WS1,West Midlands (England)
WS10,West Midlands (England)
WS11,West Midlands (England)
WS12,West Midlands (England)
WS13,West Midlands (England)
WS14,West Midlands (England)
WS15,West Midlands (England)
WS2,West Midlands (England)
WS3,West Midlands (England)
WS4,West Midlands (England)
WS5,West Midlands (England)
WS6,West Midlands (England)
WS7,West Midlands (England)
WS8,West Midlands (England)
WS9,West Midlands (England)
WV1,West Midlands (England)
WV10,West Midlands (England)
WV11,West Midlands (England)
WV12,West Midlands (England)
WV13,West Midlands (England)
WV14,West Midlands (England)
WV15,West Midlands (England)
WV16,West Midlands (England)
WV2,West Midlands (England)
WV3,West Midlands (England)
WV4,West Midlands (England)
WV5,West Midlands (England)
WV6,West Midlands (England)
WV7,West Midlands (England)
WV8,West Midlands (England)
WV9,West Midlands (England)
WV98,West Midlands (England)
YO1,Yorkshire and The Humber
YO10,Yorkshire and The Humber
YO11,Yorkshire and The Humber
YO12,Yorkshire and The Humber
YO13,Yorkshire and The Humber
YO14,Yorkshire and The Humber
YO17,Yorkshire and The Humber
YO18,Yorkshire and The Humber
YO19,Yorkshire and The Humber
YO21,Yorkshire and The Humber
YO22,Yorkshire and The Humber
YO23,Yorkshire and The Humber
YO24,Yorkshire and The Humber
YO25,Yorkshire and The Humber
YO26,Yorkshire and The Humber
YO30,Yorkshire and The Humber
YO31,Yorkshire and The Humber
YO32,Yorkshire and The Humber
YO41,Yorkshire and The Humber
YO51,Yorkshire and The Humber
YO60,Yorkshire and The Humber
YO61,Yorkshire and The Humber
YO62,Yorkshire and The Humber
YO7,Yorkshire and The Humber
YO8,Yorkshire and The Humber
YO90,Yorkshire and The Humber
TW2,London
WF1,Yorkshire and The Humber
IP9,East of England
NN4,East Midlands (England)
BT22,Northern Ireland
IG2,London
ME6,South East (England)
MK7,South East (England)
RG1,South East (England)
LS9,Yorkshire and the Humber
CT14,South East (England)
RG12,South East (England)
NG7,East Midlands (England)
TR7,South West (England)
LA1,North West (England)
IP4,East of England
TR18,South West (England)
MK40,East of England
SM5,London
LS13,Yorkshire and The Humber
E10,London
CT10,South East (England)
NW4,London
RG18,South East (England)
BT41,Northern Ireland
RG6,South East (England)
DN4,Yorkshire and The Humber
WR7,West Midlands (England)
EX6,South West (England)
TW3,London
RG40,South East (England)
SS7,East of England
LS6,Yorkshire and The Humber
SK10,North West (England)
BT5,Northern Ireland
NG5,East Midlands (England)
NG4,East Midlands (England)
WR9,West Midlands (England)
DA12,South East (England)
LS16,Yorkshire and The Humber
BT66,Northern Ireland
S66,Yorkshire and The Humber
TW1,London
N2,London
DA11,South East (England)
N12,London
BT39,Northern Ireland
PO22,South East (England)
TN9,South East (England)
LS15,Yorkshire and The Humber
IG1,London
MK8,East Midlands (England)
SW20,London
WR5,West Midlands (England)
KT5,London
MK46,East Midlands (England)
S70,Yorkshire and The Humber
IP30,East of England
PO16,South East (England)
LS12,Yorkshire and The Humber
PO30,South East (England)
N10,London
CT2,South East (England)
TF5,West Midlands (England)
LS18,Yorkshire and The Humber
LS8,Yorkshire and The Humber
BT32,Northern Ireland
BT9,Northern Ireland
TF4,West Midlands (England)
DN5,Yorkshire and The Humber
RG10,South East (England)
E17,London
BT78,Northern Ireland
MK4,East Midlands (England)
EX5,South West (England)
EX4,South West (England)
TW4,London
TN11,South East (England)
KT3,London
SM4,London
BT8,Northern Ireland
MK5,East Midlands (England)
LS2,Yorkshire and The Humber
SS5,East of England
EX1,South West (England)
TQ14,South West (England)
MK42,East of England
KT2,London
RG41,South East (England)
NW7,London
PO1,South East (England)
IG4,London
TW11,London
BN11,South East (England)
TR1,South West (England)
NG9,East Midlands (England)
SM6,London
CH5,Wales
TQ8,South West (England)
TW9,London
BT30,Northern Ireland
PL25,South West (England)
CW11,West Midlands (England)
E18,London
BT11,Northern Ireland
NG3,East Midlands (England)
TD6,Scotland
N3,London
PL20,South West (England)
E11,London
RG42,South East (England)
GY3,Channel Islands
DE21,East Midlands (England)
IP31,East of England
TQ6,South West (England)
IP2,East of England
WF6,Yorkshire and The Humber
DE7,East Midlands (England)
EX23,South West (England)
PO36,South East (England)
PO2,South East (England)
IG3,London
BT36,Northern Ireland
IP7,East of England
WR3,West Midlands (England)
TQ9,South West (England)
BT53,Northern Ireland
TW7,London
PO37,South East (England)
MK41,East of England
CT13,South East (England)
SW13,London
IP5,East of England
PL14,South East (England)
BT15,Northern Ireland
B61,West Midlands (England)
LS10,Yorkshire and The Humber
BT38,Northern Ireland
TF1,West Midlands (England)
BN16,South East (England)
ZE1,Scotland
NG11,East Midlands (England)
MK15,East of England
SK9,North West (England)
CT1,South East (England)
EX8,South West (England)
MK16,East of England
LS7,Yorkshire and The Humber
N20,London
YO42,Yorkshire and The Humber
TN1,South East (England)
CT8,South East (England)
IP11,East of England
CT19,South East (England)
PO14,South East (England)
TN13,South East (England)
MK10,East of England
BT23,Northern Ireland
SO31,South East (England)
KT1,London
TW10,London
SM1,London
WR1,West Midlands (England)
DE22,East Midlands (England)
B60,West Midlands (England)
PL21,South West (England)
NG2,East Midlands (England)
BT6,Northern Ireland
IP1,East Midlands (England)
CT7,South East (England)
SS15,East of England
BT7,Northern Ireland
BT80,Northern Ireland
SS12,East of England
PL30,South West (England)
HU17,Yorkshire and The Humber
NW11,London
BT82,Northern Ireland
TR3,South West (England)
IP3,East of England
S73,Yorkshire and The Humber
LS26,Yorkshire and The Humber
EX12,South West (England)
PO38,South East (England)
MK12,East of England
DY13,West Midlands (England)
DA2,South East (England)
GU28,South East (England)
RG45,South East (England)
LD3,Wales
LS27,Yorkshire and The Humber
CW1,North West (England)
DA10,South East (England)
IG5,London
PO4,South East (England)
PO10,South East (England)
BT42,Northern Ireland
S75,Yorkshire and The Humber
TR27,South West (England)
BT26,Northern Ireland
EX2,South West (England)
LS4,Yorkshire and The Humber
PL19,South West (England)
LS5,Yorkshire and The Humber
CT6,South East (England)
BT51,Northern Ireland
RG14,South West (England)
HU14,Yorkshire and The Humber
SS6,East of England
IP33,East of England
HU15,Yorkshire and The Humber
PL32,South West (England)
LS11,Yorkshire and The Humber
TR10,South West (England)
BT63,Northern Ireland
DE56,East Midlands (England)
BT70,Northern Ireland
WF2,Yorkshire and The Humber
BT93,Northern Ireland
BT13,Northern Ireland
TR14,South West (England)
BT48,Northern Ireland
PO13,South East (England)
CT20,South East (England)
DE65,West Midlands (England)
HU16,Yorkshire and The Humber
GY1,Channel Islands
IP17,East of England
BT20,Northern Ireland
LL13,Wales
EX22,South West (England)
WR4,West Midlands (England)
BT19,Northern Ireland
EX20,South East (England)
BT14,Northern Ireland
TD3,Scotland
SS13,East of England
LD6,Wales
ME10,South East (England)
TR16,South West (England)
YO16,Yorkshire and The Humber
LS1,Yorkshire and The Humber
SS14,East of England
MK6,East of England
S65,Yorkshire and The Humber
PO20,South East (England)
S63,Yorkshire and The Humber
TR2,South West (England)
TR9,South West (England)
ME19,South East (England)
HU19,Yorkshire and The Humber
CT21,South East (England)
HU10,Yorkshire and The Humber
BN12,South East (England)
IM4,Isle of Man
LD2,Wales
PL8,South West (England)
BT43,Northern Ireland
HU20,Yorkshire and The Humber
BT74,Northern Ireland
BN14,South East (England)
EX17,South West (England)
CT17,South West (England)
S26,Yorkshire and The Humber
DA4,South East (England)
DE45,East Midlands (England)
CT18,South East (England)
IP15,East of England
DN7,Yorkshire and The Humber
TW13,London
BT4,Northern Ireland
MK14,South East (England)
PO21,South East (England)
HU18,Yorkshire and The Humber
NG8,East Midlands (England)
BT33,Northern Ireland
IP13,East of England
BT44,Northern Ireland
PO5,South East (England)
BT47,Northern Ireland
ST1,West Midlands (England)
BT24,Northern Ireland
WR2,West Midlands (England)
EX10,South West (England)
NN2,East Midlands (England)
SK23,West Midlands (England)
FY7,North West (England)
CT9,South East (England)
IP29,East of England
BT29,Northern Ireland
CT15,South East (England)
IP6,East of England
TN15,South East (England)
NN1,East Midlands (England)
S72,Yorkshire and The Humber
BT61,Northern Ireland
PO19,South East (England)
NN5,East Midlands (England)
DA3,South East (England)
BT12,Northern Ireland
DE23,East Midlands (England)
TQ13,South West (England)
BN17,South East (England)
TR19,South West (England)
CT5,South East (England)
PO6,South East (England)
BT71,Northern Ireland
TN4,South East (England)
BT37,Northern Ireland
DE24,East Midlands (England)
TQ7,South West (England)
SW14,London
PO12,South East (England)
BT18,Northern Ireland
IG6,London
EX31,South West (England)
PO33,South East (England)
BT10,Northern Ireland
NG1,East Midlands (England)
EX15,South West (England)
RG2,South East (England)
S62,Yorkshire and The Humber
BT79,Northern Ireland
GU47,South East (England)
NR33,East of England
BT25,Northern Ireland
LA4,North West (England)
PO3,South East (England)
BN13,South East (England)
BT17,Northern Ireland
EH44,Scotland
PO11,South East (England)
RG30,South East (England)
IM9,Isle of Man
LS14,Yorkshire and The Humber
BT28,Northern Ireland
DA13,South East (England)
PL12,South West (England)
LS3,Yorkshire and The Humber
BT34,Northern Ireland
PO31,South East (England)
IP32,East of England
CT3,South East (England)
BT64,Northern Ireland
BT54,Northern Ireland
BT16,Northern Ireland
SS8,East of England
BT52,Northern Ireland
LL12,Wales
EX32,South West (England)
CT11,South East (England)
MK9,South East (England)
LA3,North West (England)
NR32,East of England
CT16,South East (England)
S74,Yorkshire and The Humber
TR15,South West (England)
CW5,West Midlands (England)
TR11,South West (England)
SS4,East of England
TF7,West Midlands (England)
GU29,South East (England)
JE2,Channel Islands
BT27,Northern Ireland
BT40,Northern Ireland
MK13,South East (England)
PL15,South West (England)
DE1,East Midlands (England)
IP19,East of England
PO18,South East (England)
CT12,South East (England)
BT65,Northern Ireland
BN15,South East (England)
BT62,Northern Ireland
BT57,Northern Ireland
BT69,Northern Ireland
WR10,West Midlands (England)
BT76,Northern Ireland
PL22,South West (England)
S71,Yorkshire and The Humber
DA9,South East (England)
TD1,Scotland
RG5,South East (England)
DE3,East Midlands (England)
LL65,Wales
S25,Yorkshire and The Humber
RG31,South East (England)
BT67,Northern Ireland
PO40,South East (England)
EX3,South West (England)
DE75,East Midlands (England)
PL26,South West (England)
